,base_asset,compared_asset,label,hedge_ratio
457,MFLX,PFF,0,0.5453690711897117
385,GOVI,MBB,0,0.32713017727738325
388,HISF,VTIP,0,0.9609128404128354
451,LMBS,VGSH,0,0.8147436403564026
435,IUSB,VGIT,0,0.765087051058917
434,ISTB,VGSH,0,0.8088038939437027
40,BND,IEI,0,0.6281296894467067
41,BND,VCLT,0,0.9066250682941832
42,BND,VGIT,0,1.23300186536733
43,BNDX,VWOB,0,0.7806931561985739
44,BSCQ,VGSH,0,0.3216995688441341
332,FMB,VGSH,0,0.8708722014404474
331,FMB,SHY,0,0.617227365161571
330,FMB,PFF,0,1.646246991365611
329,FMB,ISTB,0,1.0769894344745743
433,ISTB,SKOR,0,1.0057457585863065
432,ISTB,SHY,0,0.5732472570471882
519,VMBS,VWOB,0,0.7531708669304039
417,IGSB,VGSH,0,0.8559933234975491
416,IGSB,VCSH,0,0.6618616835019512
469,PFF,SHY,0,0.37424987463412474
470,PFF,VGSH,0,0.5280508484547886
389,HYLS,HYXF,0,0.9135481398659655
390,HYLS,VGSH,0,0.6625477680955294
415,IGSB,SHY,0,0.6066840719113191
394,IEI,IUSB,0,2.5650376025233474
395,IEI,VCLT,0,1.4418146185295426
396,IEI,VWOB,0,1.8759723257972314
384,GNMA,VWOB,0,0.7171856388782687
413,IGIB,SHY,0,0.6224234066037007
453,MBB,VMBS,0,2.031897861594225
344,FTQI,FTSL,0,0.4194645195379269
518,VGIT,VWOB,0,0.9557408104758108
517,VCSH,VGSH,0,1.2933432386353643
516,VCLT,VGIT,0,1.3544049807574932
114,EMB,GNMA,0,1.9795677209790943
115,EMB,GOVI,0,2.8294709748516564
116,EMB,MBB,0,0.9279247243272523
117,EMB,TLT,0,0.7411235748437256
118,EMB,VMBS,0,1.8854508411696596
9,AGZD,VRIG,0,0.783414583077111
119,EMCB,FMB,0,1.2251414602237345
509,SLQD,VGSH,0,0.8194906688502028
508,SKOR,VGSH,0,0.8033080075346695
507,SHY,VCSH,0,1.0904108100495054
14,ANGL,FALN,0,1.0995596024411394
383,GNMA,VMBS,0,0.9523272975780248
506,SHY,SKOR,0,1.7534623300242456
121,EMCB,ISTB,0,1.319186277330814
122,EMCB,MFLX,0,3.6985674895641787
354,FTSM,SHV,0,0.5383293950983784
123,EMCB,SHY,0,0.7558506310157258
124,EMCB,SKOR,0,1.3279101622734881
125,EMCB,VGSH,0,1.0664660040511325
380,GNMA,GOVI,0,1.4284574461624655
381,GNMA,MBB,0,0.4686851592804908
382,GNMA,VGLT,0,0.6152396498346653
346,FTQI,VRIG,0,0.7400149800868492
345,FTQI,HYZD,0,0.8928861295694059
120,EMCB,IEI,0,0.5131955192187773
414,IGIB,VGSH,0,0.8782153506854298
218,FBZ,ICLN,1,0.5757306430081672
220,FBZ,IUSG,1,0.12359838999055567
219,FBZ,IJT,1,0.09517959160348238
228,FBZ,PEZ,1,0.14934621284378297
222,FBZ,JSML,1,0.19700354980795848
223,FBZ,KRMA,1,0.3878038019934691
224,FBZ,MILN,1,0.3253320499330186
225,FBZ,NFTY,1,0.2546335593437465
226,FBZ,ONEQ,1,0.22908707160598127
227,FBZ,PDP,1,0.13800968912481287
217,FBZ,GRID,1,0.1324620883240043
229,FBZ,PGJ,1,0.23003471491469238
230,FBZ,PHO,1,0.22240653465633903
231,FBZ,PKW,1,0.13473150683040117
221,FBZ,JSMD,1,0.18710866745450844
216,FBZ,FYX,1,0.1353243962204389
260,FBZ,SNSR,1,0.3597144272219969
214,FBZ,FYC,1,0.1789114422234943
181,EWZS,PXI,1,0.3874403651510743
182,EWZS,PYZ,1,0.186195143838848
184,EWZS,QMOM,1,0.3324296857097599
185,EWZS,QQEW,1,0.15550275008434947
186,EWZS,QQQ,1,0.04844726775398957
187,EWZS,QQQE,1,0.21695344189797613
188,EWZS,QTEC,1,0.11286509404094396
189,EWZS,RDVY,1,0.3570370504712479
190,EWZS,RING,1,0.5872993475861823
191,EWZS,RTH,1,0.09487653666544366
192,EWZS,SKYY,1,0.18349983280992369
193,EWZS,SMH,1,0.12917234250837967
194,EWZS,SNSR,1,0.49377700895314613
195,EWZS,SOCL,1,0.31247355691922396
196,EWZS,SOXX,1,0.03796109760081745
197,EWZS,TDIV,1,0.297987626895534
198,EWZS,TUR,1,0.4896238564440198
213,FBZ,FV,1,0.2552083481734543
212,FBZ,FTXN,1,0.4736270169618491
211,FBZ,FTXL,1,0.18565329379068704
210,FBZ,FTC,1,0.11465576918583414
209,FBZ,FNY,1,0.17669718467336162
232,FBZ,PNQI,1,0.2898695404369448
215,FBZ,FYT,1,0.24070779934102543
207,FBZ,FNK,1,0.2610971836943011
443,JSMD,PTF,1,1.4231565201942011
444,JSML,MILN,1,1.6658789538313674
202,EWZS,XT,1,0.2818133503138901
201,EWZS,VTWG,1,0.08194374679157507
200,EWZS,VONG,1,0.244784679544543
199,EWZS,VONE,1,0.08395285292048377
206,FBZ,FINX,1,0.3200983111918892
208,FBZ,FNX,1,0.12419649880716968
255,FBZ,RDVY,1,0.26066257625663314
234,FBZ,PRN,1,0.11878924903678689
436,IUSG,PTF,1,2.1443947547207363
418,IJT,PSCD,1,1.325666415989256
393,ICLN,QCLN,1,0.36254920257716394
